State,District,Name,TRU,Level,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
01,001,Kupwara,Total,DISTRICT,113929,870354,474190,396164,188798,100459,88339,1048,1046,2,70352,36913,33439,439654,282823,156831,229064,190899,38165,123837,111713,12124,105227,79186,26041,641290,283291,357999
01,002,Badgam,Total,DISTRICT,103363,753745,398041,355704,155202,84720,70482,368,343,25,23912,12383,11529,335649,207741,127908,214866,162578,52288,132003,116865,15138,82863,45713,37150,538879,235463,303416
01,003,Leh(Ladakh),Total,DISTRICT,21909,133487,78971,54516,12016,6174,5842,488,444,44,95857,47543,48314,93770,62834,30936,75079,53265,21814,57125,44742,12383,17954,8523,9431,58408,25706,32702
01,004,Kargil,Total,DISTRICT,18338,140802,77785,63017,19928,10078,9850,18,12,6,122336,62652,59684,86236,56301,29935,51873,39839,12034,28941,25174,3767,22932,14665,8267,88929,37946,50983
01,005,Punch,Total,DISTRICT,90261,476835,251899,224936,84674,44733,39941,556,406,150,176101,90274,85827,261724,163333,98391,161393,117677,43716,73247,63147,10100,88146,54530,33616,315442,134222,181220
01,006,Rajouri,Total,DISTRICT,130401,642415,345351,297064,108271,58051,50220,48157,25170,22987,232815,121374,111441,364109,224469,139640,290912,184752,106160,130377,110114,20263,160535,74638,85897,351503,160599,190904
01,007,Kathua,Total,DISTRICT,119583,616435,326109,290326,83936,45833,38103,141224,74644,66580,53307,27693,25614,389204,228499,160705,200431,161548,38883,142847,123404,19443,57584,38144,19440,416004,164561,251443
01,008,Baramula,Total,DISTRICT,152635,1008039,534733,473306,164581,88321,76260,1476,1451,25,37705,20237,17468,545149,337170,207979,304200,249581,54619,187959,169496,18463,116241,80085,36156,703839,285152,418687
01,009,Bandipore,Total,DISTRICT,58392,392232,207680,184552,61754,32641,29113,392,375,17,75374,39398,35976,185979,117058,68921,149317,101380,47937,75173,64904,10269,74144,36476,37668,242915,106300,136615
01,010,Srinagar,Total,DISTRICT,191678,1236829,651124,585705,158300,84897,73403,1068,995,73,8935,5021,3914,748584,431746,316838,407188,333151,74037,330547,289800,40747,76641,43351,33290,829641,317973,511668
01,011,Ganderbal,Total,DISTRICT,45361,297446,158720,138726,50594,27159,23435,117,105,12,61070,32554,28516,143276,90581,52695,100890,73305,27585,52949,46779,6170,47941,26526,21415,196556,85415,111141
01,012,Pulwama,Total,DISTRICT,86241,560440,293064,267376,97374,53234,44140,402,397,5,22607,11837,10770,293958,178326,115632,188420,138428,49992,98306,89170,9136,90114,49258,40856,372020,154636,217384
01,013,Shupiyan,Total,DISTRICT,44411,266215,136480,129735,41547,22121,19426,43,43,0,21820,11311,10509,136500,80355,56145,87721,63931,23790,54703,48945,5758,33018,14986,18032,178494,72549,105945
01,014,Anantnag,Total,DISTRICT,153640,1078692,559767,518925,208538,113278,95260,1826,1811,15,116006,60990,55016,545532,324417,221115,389684,244032,145652,176800,158226,18574,212884,85806,127078,689008,315735,373273
01,015,Kulgam,Total,DISTRICT,73728,424483,217620,206863,71501,37929,33572,21,11,10,26525,13888,12637,209085,125052,84033,159990,102317,57673,77812,70202,7610,82178,32115,50063,264493,115303,149190
01,016,Doda,Total,DISTRICT,79636,409936,213641,196295,71240,36862,34378,53408,27209,26199,39216,20377,18839,219083,138620,80463,151912,101144,50768,79377,68349,11028,72535,32795,39740,258024,112497,145527
01,017,Ramban,Total,DISTRICT,55490,283713,149132,134581,55092,28625,26467,13920,7168,6752,39772,20940,18832,124065,82938,41127,87212,68476,18736,52051,46507,5544,35161,21969,13192,196501,80656,115845
01,018,Kishtwar,Total,DISTRICT,45209,230696,120165,110531,39396,20479,18917,14307,7322,6985,38149,19889,18260,107506,68700,38806,82974,56779,26195,44718,36110,8608,38256,20669,17587,147722,63386,84336
01,019,Udhampur,Total,DISTRICT,99240,554985,296784,258201,84332,44703,39629,138569,72093,66476,56309,29142,27167,322354,197543,124811,243672,163845,79827,152442,127825,24617,91230,36020,55210,311313,132939,178374
01,020,Reasi,Total,DISTRICT,56689,314667,166461,148206,55799,29079,26720,37757,19657,18100,88365,46330,42035,150542,93937,56605,144767,88755,56012,88462,74819,13643,56305,13936,42369,169900,77706,92194
